"","All Devices"
"Dec 27-Jan 2","10747402"
"Jan 3-9","12736559"
"Jan 10-16","16472819"
"Jan 17-23","19427136"
"Jan 24-30","17890486"
"Jan 31-Feb 6","18446997"
"Feb 7-13","19249724"
"Feb 14-20","18621340"
"Feb 21-27","21756507"
"Feb 28-Mar 6","21620689"
"Mar 7-13","23513360"
"Mar 14-20","22319690"
"Mar 21-27","20714333"
"Mar 28-Apr 3","17565626"
"Apr 4-10","21320057"
"Apr 11-17","19885422"
"Apr 18-24","20835335"
"Apr 25-May 1","19393188"
"May 2-8","21377236"
"May 9-15","21479973"
"May 16-22","23486200"
"May 23-29","18505263"
"May 30-Jun 5","20524205"
"Jun 6-12","21743316"
"Jun 13-19","18160834"
"Jun 20-26","19225320"
"Jun 27-Jul 3","15210536"
"Jul 4-10","13926477"
"Jul 11-17","17080251"
"Jul 18-24","19242081"
"Jul 25-31","24124567"
"Aug 1-7","23420031"
"Aug 8-14","22566662"
"Aug 15-21","25605523"
"Aug 22-28","25672666"
"Aug 29-Sep 4","27413144"
"Sep 5-11","27353644"
"Sep 12-18","31586511"
"Sep 19-25","27238584"
"Sep 26-Oct 2","26997541"
"Oct 3-9","34780587"
"Oct 10-16","32623220"
"Oct 17-23","25615324"
"Oct 24-30","28634183"
"Oct 31-Nov 6","27448647"
"Nov 7-13","23296044"
"Nov 14-20","42918949"
"Nov 21-27","20664975"
"Nov 28-Dec 4","24574110"
"Dec 5-11","25601581"
"Dec 12-18","23297991"
"Dec 19-25","15659463"