monthly_listeners_millions_rank,artist,monthly_listeners_millions,chg,ref_s.x,followers_millions_rank,followers_millions,ref_s.y
1,The Weeknd,105.98,,[18],10,72.44,[78]
2,Taylor Swift,100.58,,[19],4,88.12,[72]
3,Drake,81.36,,[20],6,80.5,[74]
4,Rihanna,77.22,,[21],12,58.23,[80]
5,Ed Sheeran,76.34,,[22],1,115.45,[69]
6,Doja Cat,76.22,,[23],NA,NA,NA
7,Bad Bunny,75.97,,[24],8,74.85,[76]
8,Justin Bieber,74.03,,[25],9,74.57,[77]
9,Dua Lipa,71.62,,[26],24,41.82,[92]
10,SZA,70.27,,[27],NA,NA,NA
11,Billie Eilish,68.82,,[28],5,87.14,[73]
12,David Guetta,67.99,,[29],NA,NA,NA
13,Bruno Mars,67.44,,[30],14,51.43,[82]
14,Coldplay,66.32,,[31],17,47.6,[85]
15,Shakira,65.61,,[32],39,31.69,[107]
16,Miley Cyrus,65.56,,[33],NA,NA,NA
17,Ariana Grande,64.69,,[34],2,94.29,[70]
18,Eminem,63.22,,[35],7,77.3,[75]
19,Olivia Rodrigo,62.87,,[36],46,28.55,[114]
20,Travis Scott,62.11,,[37],NA,NA,NA
21,Calvin Harris,61.87,,[38],NA,NA,NA
22,Post Malone,61.25,,[39],23,42.32,[91]
23,Imagine Dragons,58.17,,[40],15,50.61,[83]
24,Kanye West,57.94,,[41],NA,NA,NA
25,Harry Styles,57.49,,[42],44,29.59,[112]
26,Maroon 5,57.33,,[43],25,41.69,[93]
27,21 Savage,57.33,,[44],NA,NA,NA
28,Lana Del Rey,56.54,,[45],47,28.42,[115]
29,Nicki Minaj,55.95,,[46],42,29.78,[110]
30,Karol G,55.64,,[47],26,40.23,[94]
31,Sam Smith,55.54,,[48],NA,NA,NA
32,Lady Gaga,53.79,,[49],48,28.13,[116]
33,Marshmello,53.75,,[50],32,35.37,[100]
34,Adele,52.99,,[51],13,51.78,[81]
35,Selena Gomez,52.72,,[52],19,45.64,[87]
36,Katy Perry,52.02,,[53],43,29.71,[111]
37,J Balvin,51.93,,[54],30,38.03,[98]
38,Peso Pluma,51.16,,[55],NA,NA,NA
39,Daddy Yankee,50.8,,[56],34,34.04,[102]
40,Future,50.44,,[57],NA,NA,NA
41,Metro Boomin,50.39,,[58],NA,NA,NA
42,Khalid,50.14,,[59],NA,NA,NA
43,Beyoncé,48.45,,[60],31,36.14,[99]
44,Sia,48.4,,[61],50,27.09,[118]
45,Arctic Monkeys,48.3,,[62],NA,NA,NA
46,Kendrick Lamar,47.16,,[63],NA,NA,NA
47,Elton John,46.86,,[64],NA,NA,NA
48,Queen,46.86,,[65],16,48.6,[84]
49,Chris Brown,46.7,,[66],NA,NA,NA
50,OneRepublic,46.34,,[67],NA,NA,NA